,Currency,Strategy,Time,Threshold,PnL,Fitness,TR,std(RR),MDD,Win Rate,nTrade
108,EURNZD,B&H,202107,None,586,0.0017,0.0035,,0.018,1.0,1
109,EURNZD,RSI,202107,None,-4769,-0.0291,-0.0282,0.0021,0.0093,0.4035,57
110,EURNZD,MACD,202107,None,-1604,-0.0099,-0.0092,0.0021,0.0072,0.3276,58
111,EURNZD,STS1,202107,0.002,-3010,-0.0182,-0.0176,0.002,0.0063,0.403,67
112,EURNZD,STS2,202107,0.004,1665,0.0094,0.01,0.0038,0.0059,0.5,16
113,EURNZD,STS3,202107,0.005,-1070,-0.0067,-0.0062,0.004,0.0048,0.3077,13
114,EURNZD,STS4,202107,0.008,786,0.0038,0.0046,0.0056,0.0076,0.6,5
115,EURNZD,MTS,202107,All,508,0.0025,0.0031,0.0024,0.0062,0.4815,54
116,EURNZD,MTSGA,202107,All,3810,0.0221,0.0227,0.0027,0.0061,0.4746,59
117,EURNZD,B&H,202108,None,-2840,-0.0191,-0.0167,,0.0237,0.0,1
118,EURNZD,RSI,202108,None,-3077,-0.019,-0.0182,0.0021,0.0076,0.55,40
119,EURNZD,MACD,202108,None,-2412,-0.0149,-0.014,0.003,0.0086,0.2444,45
120,EURNZD,STS1,202108,0.002,-6251,-0.038,-0.0369,0.0013,0.0106,0.2545,55
121,EURNZD,STS2,202108,0.004,-3299,-0.0204,-0.0193,0.0023,0.0105,0.3077,13
122,EURNZD,STS3,202108,0.005,-1807,-0.0118,-0.0107,0.0034,0.0106,0.3333,6
123,EURNZD,STS4,202108,0.008,1679,0.0096,0.0101,0.0087,0.0053,0.6667,3
124,EURNZD,MTS,202108,All,-2157,-0.0132,-0.0127,0.0015,0.0051,0.35,40
125,EURNZD,MTSGA,202108,All,-1289,-0.0081,-0.0076,0.0014,0.0051,0.3846,39
126,EURNZD,B&H,202109,None,324,0.0005,0.0019,,0.0143,1.0,1
127,EURNZD,RSI,202109,None,727,0.0037,0.0044,0.0025,0.0073,0.6,25
128,EURNZD,MACD,202109,None,-2133,-0.013,-0.0127,0.0018,0.0034,0.2759,58
