,Currency,Strategy,Time,Threshold,PnL,Fitness,TR,std(RR),MDD,Win Rate,nTrade
216,USDCAD,B&H,202107,None,688,0.003,0.0055,,0.025,1.0,1
217,USDCAD,RSI,202107,None,702,0.0049,0.0059,0.0021,0.0101,0.6774,62
218,USDCAD,MACD,202107,None,1413,0.0111,0.0115,0.0031,0.0039,0.359,39
219,USDCAD,STS1,202107,0.002,-1803,-0.0152,-0.0142,0.0023,0.0101,0.4286,56
220,USDCAD,STS2,202107,0.004,-181,-0.0017,-0.0014,0.0028,0.0034,0.4667,15
221,USDCAD,STS3,202107,0.005,-425,-0.0037,-0.0033,0.0046,0.0042,0.3,10
222,USDCAD,STS4,202107,0.008,713,0.005,0.0057,0.0049,0.0067,0.5,2
223,USDCAD,MTS,202107,All,2385,0.0186,0.0192,0.0023,0.0063,0.5333,30
224,USDCAD,MTSGA,202107,All,2743,0.0214,0.022,0.002,0.0063,0.5714,42
225,USDCAD,B&H,202108,None,1324,0.0081,0.0106,,0.0246,1.0,1
226,USDCAD,RSI,202108,None,77,-0.0007,0.0011,0.0036,0.0181,0.561,41
227,USDCAD,MACD,202108,None,179,0.0011,0.0015,0.0026,0.004,0.4062,32
228,USDCAD,STS1,202108,0.002,-2190,-0.0178,-0.0174,0.0016,0.0042,0.3256,43
229,USDCAD,STS2,202108,0.004,808,0.0061,0.0064,0.0036,0.0034,0.4444,9
230,USDCAD,STS3,202108,0.005,1469,0.0113,0.0117,0.0042,0.0042,0.6,5
231,USDCAD,STS4,202108,0.008,52,-0.0002,0.0005,0.0086,0.0067,0.5,2
232,USDCAD,MTS,202108,All,896,0.0068,0.0072,0.0026,0.0039,0.3929,28
233,USDCAD,MTSGA,202108,All,1667,0.013,0.0134,0.0022,0.0039,0.439,41
234,USDCAD,B&H,202109,None,995,0.0059,0.0079,,0.0198,1.0,1
235,USDCAD,RSI,202109,None,703,0.0048,0.0058,0.0026,0.0095,0.5306,49
236,USDCAD,MACD,202109,None,635,0.0047,0.0052,0.0024,0.0048,0.3556,45
237,USDCAD,STS1,202109,0.002,-1194,-0.0099,-0.0094,0.0017,0.0048,0.375,56
238,USDCAD,STS2,202109,0.004,594,0.0045,0.0048,0.0026,0.0034,0.5294,17
239,USDCAD,STS3,202109,0.005,261,0.0018,0.0022,0.0034,0.0042,0.5,10
240,USDCAD,STS4,202109,0.008,290,0.0017,0.0024,0.005,0.0067,0.5,4
241,USDCAD,MTS,202109,All,-634,-0.0055,-0.005,0.0017,0.0048,0.4,40
